OBJECTID,n_sq_ir,c_cainsee,n_qu,c_ir,c_typeir,l_ir,m2_ip,m2_pop,m2_emp,nb_pop,nb_pop_n5,nb_pop_1999,nb_evo_pop,nb_evo_pop_n5,pct_evo_pop,pct_evo_pop_n5,nb_surface,nb_densite,nb_p_age_0,nb_p_age_5,nb_p_age_10,nb_p_age_15,nb_p_age_20,nb_p_age_25,nb_p_age_30,nb_p_age_35,nb_p_age_40,nb_p_age_45,nb_p_age_50,nb_p_age_55,nb_p_age_60,nb_p_age_65,nb_p_age_70,nb_p_age_75,nb_p_age_80,nb_p_age_85,nb_p_age_90p,nb_age_019,nb_age_60p,nb_age_65p,nb_age_75p,pct_age_019,pct_age_60p,pct_age_65p,pct_age_75p,nb_age_019_n5,nb_age_60p_n5,nb_age_65p_n5,nb_age_75p_n5,pct_age_019_n5,pct_age_60p_n5,pct_age_65p_n5,pct_age_75p_n5,pct_evo_age_019,pct_evo_age_60p,pct_evo_age_65p,pct_evo_age_75p,nb_etranger,pct_etranger,nb_etranger_n5,pct_etranger_n5,pct_evo_etranger,nb_immigre,pct_immigre,nb_immigre_n5,pct_immigre_n5,pct_evo_immigre,n_sq_epci,l_epci,shape_Length,shape_Area
11,930001832,93071,0,930710101,H,Rougemont Est,63575.5671973,61432.721058,63283.5527373,2203.43900484483,2048.175743,,155.26326184483,,,,7.87838913048,279.681413084832,234.550303576228,236.917079531174,179.310541793993,117.733688930514,145.183535447443,144.638571812186,192.52286943247,163.929890217073,168.686701117987,119.664558987325,103.038095575121,96.5389096226883,122.422889826172,50.9568188038478,39.7579239052463,48.482515082962,27.9845488829179,10.1164711822476,1.00309111723623,768.511613831909,300.72425880063,178.301368974458,87.5866262653638,34.8778256235883,13.6479502332223,8.09195846049817,3.97499663357061,771.164514,181.563219,120.444186,39.086085,37.6512863525305,8.86463086092706,5.88055914692082,1.90833648594773,-2.7734607289422,4.78331937229524,2.21139931357735,2.06666014762288,573.400887622312,26.0229979755075,432.223704,21.1028621678194,4.9201358076881,814.455794710193,36.9629380672395,635.723913,31.0385432096195,5.92439485762,139,T7 Paris Terres d'Envol,1539.144041946,78783.89130443
12,930001831,93071,0,930710102,H,Rougemont Ouest 2,57017.6493159,56397.5591823,56397.5591823,950.798973393591,1038.989551,,-88.1905776064089,,,,7.31108128809,130.049022289285,81.6844675340251,79.4580385686024,66.8657357472433,100.468986040386,100.394159618279,62.4631100293451,77.8883044950234,59.1808421256906,51.8565553880655,59.0911527776943,63.6304586438805,41.0482053992049,43.8560874599121,33.3667266682357,12.1028209463427,11.3919114784889,2.1704925187198,3.88091795445156,0,328.477227890256,106.768957026151,62.9128695662387,17.4433219516602,34.5474950102076,11.2293933853411,6.61684239536883,1.83459621221524,356.041161,92.836924,58.904559,28.160615,34.2680213345091,8.93530872477465,5.66940821910152,2.71038481310001,0.279473675698497,2.29408466056645,0.94743417626731,-0.87578860088477,270.299052601971,28.4286226811142,315.57234,30.3730042035813,-1.9443815224671,388.835612326899,40.8956701897844,389.212306,37.4606564257931,3.4350137639913,139,T7 Paris Terres d'Envol,1821.76351099937,73110.8128808282
13,930001827,93071,0,930710105,H,Savigny 2,80438.748827,79776.9137434,79811.576537,1651.53495604885,1657.372987,,-5.8380309511499,,,,9.93186192819,166.286540025414,164.355960656332,150.541349988495,115.635873252006,77.1649568535107,110.679337400421,100.929883093203,126.799862702433,84.9363422342075,120.05811135455,78.2474636854044,87.5278728942939,118.092981881913,71.1382035777433,82.1776544245407,25.2156409984537,65.5789078425707,31.9550437155072,29.3567791743999,11.142730318867,507.698140750345,316.564960052083,245.426756474339,138.033461051345,30.7409866736922,19.1679236877575,14.8605244821158,8.35788915916002,528.045417,247.209537,183.438484,72.821108,31.8603851481743,14.9157455164919,11.068026656573,4.39376703802884,-1.1193984744821,4.2521781712656,3.7924978255428,3.96412212113118,431.570046866448,26.1314509442138,340.995078,20.5744319881328,5.557018956081,513.184277484703,31.0731707860699,555.681925,33.5278738919135,-2.4547031058436,139,T7 Paris Terres d'Envol,1517.66461812317,99318.6192816216
14,930001143,93071,0,930710107,H,Beaudottes Anciennes 2,67024.046994,59838.4915797,56938.6830238,2511.90136957854,2500.82885,,11.0725195785403,,,,8.09531024499,310.290933090933,253.276676949283,231.696424458763,185.165636057988,156.145902997893,230.682427847757,268.197078166248,177.839101553408,195.171890102436,154.544801248083,112.952281986032,146.495092353114,143.597625790645,117.631368047168,63.3931380785104,51.3405514796016,6.78738672124415,12.7655482713625,4.21843746900621,0,826.284640463929,256.136430066893,138.505062019725,23.7713724616129,32.8947884049511,10.1969143043968,5.51395304358483,0.946349755189686,900.749825,201.76225,104.058885,49.643879,36.0180515751808,8.06781519654974,4.16097587006004,1.98509702093368,-3.1232631702297,2.12909910784706,1.35297717352479,-1.03874726574399,807.958948408864,32.1652338023299,601.46854,24.0507678084408,8.1144659938891,1135.88362770572,45.2200727887777,1066.944437,42.6636327791884,2.5564400095893,139,T7 Paris Terres d'Envol,1266.20849627568,80953.1024496789
15,930001815,93071,0,930710109,H,Centre Ville 2,338426.54545,280049.658591,297659.003438,2443.6744892737,2789.745781,,-346.0712917263,,,,40.1758444938,60.8244710238963,219.347210332924,212.093984190681,119.978905783753,81.0179947513999,167.185391592484,246.589763716028,219.450751510122,182.455125786507,181.70864144872,116.269843935138,109.075707997506,137.34768410418,108.978176328691,83.2778014022838,78.4948194185651,47.4063863101881,54.821563721509,30.4581038960561,45.6795827957161,632.438095058757,449.625696435821,340.64752010713,181.930474663149,25.8806194456254,18.3995740189381,13.9399712032995,7.44495535152972,830.341121,428.762694,302.719484,177.898551,29.7640425394732,15.3692389077225,10.8511494510259,6.37687319796685,-3.8834230938478,3.0303351112156,3.0888217522736,1.06808215356287,358.700965610961,14.6787539496544,439.124539,15.7406650452069,-1.0619110955525,574.966548246085,23.5287699229112,673.860446,24.1549051024445,-0.6261351795333,139,T7 Paris Terres d'Envol,2676.74305847651,401758.44493812
16,930001814,93071,0,930710113,H,Pont Blanc 2,234617.249928,225471.974891,228713.178536,2602.89042498871,2346.098616,,256.79180898871,,,,28.2272407534,92.2120035652153,242.869567918169,245.969726635427,235.373205339433,220.538978011674,199.936387549643,201.991008671557,184.799121915555,169.081609542105,151.19620322942,121.236828891775,141.930864112262,122.194189011487,130.592493780803,75.0029209668872,67.7871626720155,54.9779565673493,27.2393739339631,3.29066413989749,6.88216209929174,944.751477904703,365.772734160208,235.180240379404,92.3901567405016,36.2962446991521,14.0525598253639,9.03534924565348,3.54952155701684,711.566962,334.251937,216.591909,111.571567,30.3297976115425,14.247139260066,9.23200361327011,4.75562136387194,5.9664470876096,-0.194579434702099,-0.196654367616631,-1.2060998068551,669.278754690913,25.7129054786782,421.97059,17.9860551096289,7.7268503690493,898.649998913269,34.5250798990959,692.423471,29.5138263275801,5.0112535715158,139,T7 Paris Terres d'Envol,2355.84844689928,282272.407534268
17,930001778,93071,0,930710115,H,Sablons 2,558704.179748,147586.061993,262047.151855,1839.71560410955,2008.819887,,-169.10428289045,,,,60.5277235004,30.3945943728974,146.283929274027,126.614961779481,143.50707397085,155.243211114579,119.634571680714,93.8670828518368,140.149796674908,137.688302125742,99.2164131580521,138.138697801049,80.4651477282597,123.484603114372,165.122286430497,82.8370911276783,32.420990766352,43.4859051123985,8.08531573845735,3.47022366029664,0,571.649176138936,335.42181283568,170.299526405183,55.0414445111525,31.072692695653,18.2322643829522,9.25683980854261,2.99184528240132,579.774419,246.156078,100.799047,23.039101,28.8614436143324,12.2537654865421,5.0178240295368,1.14689729771677,2.2112490813206,5.9784988964101,4.23901577900581,1.84494798468455,207.606453708482,11.2847036381456,170.138369,8.46956813306379,2.81513550508181,344.934981170374,18.7493643256523,321.464337,16.002646084915,2.7467182407373,139,T7 Paris Terres d'Envol,4222.31545732092,605277.235003843
18,930001808,93071,0,930710116,H,Centre Ville 1,412732.998259,313350.217967,359667.214008,2736.1401049736,2354.602659,,381.5374459736,,,,48.1863206266,56.7825073463523,210.42271456705,231.220493182891,177.240484842489,163.319791649845,176.656473407411,159.110125041534,203.388807260806,205.77618012986,206.850140348776,207.741254127413,189.229423253953,156.401582664242,130.783874764738,102.4399375347,78.0460147526384,50.0597181323133,47.7769200803026,35.6203410247245,7.05584766884446,782.203484242275,453.615999184382,321.832117932669,140.512826906185,28.5878447094295,16.5786831734174,11.762267485779,5.13543976241453,691.254413,412.58,326.137125,165.846237,29.3575822807223,17.5222769932326,13.8510471715219,7.04349145135319,-0.769737571292801,-0.943593819815202,-2.0887796857429,-1.90805168893866,571.442347214325,20.8849812250326,393.163829,16.6976720041154,4.1873092209172,779.240129214799,28.479540495691,611.103664,25.9535791172314,2.5259613784596,139,T7 Paris Terres d'Envol,5005.03697056464,481863.206265248
19,930001835,93071,0,930710117,H,Perrin 2,250940.492047,214122.940888,226214.83467,2599.08446349907,2476.680225,,122.40423849907,,,,28.9580791103,89.7533449507917,213.11546034325,225.475615776998,196.224541431335,203.766155205946,178.740362094378,147.937470743967,191.261558261857,166.840339829711,163.012894520649,188.624567927298,139.967522308546,194.528174350762,104.412301418529,86.1541920598858,64.8600260281556,58.0605340519442,40.1063460080081,25.0568780087921,11.9395296160366,838.581772757528,389.589800704377,285.177499285848,135.163287684781,32.2645063880906,14.9895013484819,10.9722290018202,5.2004192084937,767.50341,431.717291,313.857006,150.948377,30.9892008767503,17.4312891362469,12.672488068176,6.09478670182381,1.2753055113403,-2.441787787765,-1.7002590663558,-0.89436749333011,580.318405566561,22.3278009513125,384.983898,15.5443522386908,6.7834487126217,888.628608336015,34.1900627246135,625.642157,25.2613216145011,8.9287411101124,139,T7 Paris Terres d'Envol,3898.00610298162,289580.791103714
20,750004033,75118,69,751186922,H,Grandes Carrières 22,69711.047044,42891.7805557,69688.0852581,2487.82649950998,2433.114091,,54.7124085099799,,,,8.09207869581,307.439731252015,114.935574739359,87.7702584938864,70.7900116587148,109.160204631388,189.357547887606,255.01292229785,228.17729000707,173.161161638258,127.466970775909,150.767111507856,161.424777581777,177.845384534276,236.750404343071,114.068303461391,94.6372009102244,94.9617139340423,62.0014549264515,33.9453744080946,10.5928379601798,378.656044573407,646.957289943455,410.206885600384,201.501381228768,15.2203557863858,26.004919960089,16.488564844903,8.09949493135704,378.73989,527.068585,418.379588,204.410535,15.566055508903,21.6623045729589,17.1952309818751,8.40118988896193,-0.3456997225172,4.3426153871301,-0.7066661369721,-0.301694957604891,195.687309687354,7.865794086762,246.094904,10.1144005088087,-2.2486064220467,284.374518713023,11.4306411146049,343.915654,14.1347935664888,-2.7041524518839,133,T1 Paris,1330.43490344177,80920.7869583608
